timestamp,cpu,memory,pods
2025-04-24T17:08:21.908,4000,34359738368000,110000
2025-04-24T17:08:31.247,2994,33822867456000,110000
2025-04-24T17:08:31.247,2026,33669775360000,110000
2025-04-24T17:08:31.267,1238,33357299712000,110000
2025-04-24T17:08:31.875,75,32830914560000,110000
2025-04-24T17:08:39.373,1081,33367785472000,110000
2025-04-24T17:08:39.896,599,32928432128000,110000
2025-04-24T17:08:40.241,93,32528924672000,110000
2025-04-24T17:08:47.363,1061,32682016768000,110000
2025-04-24T17:08:49.868,936,32468107264000,110000
2025-04-24T17:08:50.902,347,31656509440000,110000
2025-04-24T17:08:59.988,1510,32182894592000,110000
2025-04-24T17:09:01.893,764,32046579712000,110000
2025-04-24T17:09:02.903,249,31329353728000,110000
2025-04-24T17:09:02.938,374,31543263232000,110000
2025-04-24T17:09:09.999,856,31982616576000,110000
2025-04-24T17:09:11.465,1644,32295092224000,110000
2025-04-24T17:09:13.909,1046,31735152640000,110000
2025-04-24T17:09:14.298,2,30946623488000,110000
2025-04-24T17:09:14.940,748,31082938368000,110000
2025-04-24T17:09:14.954,1337,31894536192000,110000
2025-04-24T17:09:15.865,506,31057772544000,110000
2025-04-24T17:09:17.288,1012,31457280000000,110000
2025-04-24T17:09:18.894,542,31186747392000,110000
2025-04-24T17:09:18.894,110,30927749120000,110000
2025-04-24T17:09:22.963,580,31198281728000,110000
2025-04-24T17:09:32.955,1178,31758221312000,110000
2025-04-24T17:09:33.326,367,31253856256000,110000
2025-04-24T17:09:33.960,799,31512854528000,110000
2025-04-24T17:09:33.982,1314,32230080512000,110000
2025-04-24T17:09:35.335,531,31788630016000,110000
2025-04-24T17:09:36.420,1575,32577159168000,110000
2025-04-24T17:09:38.877,917,32250003456000,110000
2025-04-24T17:09:49.966,106,31728861184000,110000
2025-04-24T17:09:51.453,917,32233226240000,110000
2025-04-24T17:09:51.874,110,31760318464000,110000
2025-04-24T17:10:05.417,893,32201768960000,110000
2025-04-24T17:10:10.991,1724,33038532608000,110000
2025-04-24T17:10:11.425,621,32276217856000,110000
2025-04-24T17:10:15.946,1428,32749125632000,110000
2025-04-24T17:10:16.026,114,32691453952000,110000
2025-04-24T17:10:18.512,1217,33453768704000,110000
2025-04-24T17:10:18.526,366,32823574528000,110000
2025-04-24T17:10:23.957,1024,33150730240000,110000
2025-04-24T17:10:27.114,1835,33671872512000,110000
2025-04-24T17:10:27.468,704,33187430400000,110000
2025-04-24T17:10:27.575,1555,33817624576000,110000
2025-04-24T17:10:28.471,112,33299628032000,110000
2025-04-24T17:10:32.097,1426,33357299712000,110000
2025-04-24T17:10:32.874,720,32627490816000,110000
2025-04-24T17:10:32.876,74,32507953152000,110000
2025-04-24T17:10:36.536,1205,32992395264000,110000
2025-04-24T17:10:37.872,270,32501661696000,110000
2025-04-24T17:10:39.904,976,33231470592000,110000
2025-04-24T17:10:44.530,2419,33749467136000,110000
2025-04-24T17:10:44.558,1233,33115078656000,110000
2025-04-24T17:10:45.497,202,32451330048000,110000
2025-04-24T17:11:07.564,1233,33115078656000,110000
2025-04-24T17:11:10.859,497,32726056960000,110000
2025-04-24T17:11:11.900,1432,33216790528000,110000
2025-04-24T17:11:12.546,210,33120321536000,110000
2025-04-24T17:11:12.611,1396,33754710016000,110000
2025-04-24T17:11:13.543,787,33533460480000,110000
2025-04-24T17:11:25.606,2009,33629929472000,110000
2025-04-24T17:11:26.586,665,33308016640000,110000
2025-04-24T17:11:28.879,35,32842448896000,110000
2025-04-24T17:11:28.899,771,33231470592000,110000
2025-04-24T17:11:35.872,133,32667336704000,110000
2025-04-24T17:11:36.640,1477,32989249536000,110000
2025-04-24T17:11:37.679,151,32857128960000,110000
2025-04-24T17:11:40.910,789,33421262848000,110000
2025-04-24T17:11:42.904,1435,33540800512000,110000
2025-04-24T17:11:43.691,244,32662093824000,110000
2025-04-24T17:11:47.725,1570,32794214400000,110000
2025-04-24T17:11:47.855,872,32702988288000,110000
2025-04-24T17:11:50.706,79,32125222912000,110000
2025-04-24T17:11:50.740,1270,33003929600000,110000
2025-04-24T17:11:50.844,236,32799457280000,110000
2025-04-24T17:11:51.598,845,33020706816000,110000
2025-04-24T17:11:52.899,206,32560381952000,110000
2025-04-24T17:11:52.917,1240,32764854272000,110000
2025-04-24T17:11:57.846,81,32288800768000,110000
2025-04-24T17:11:58.905,711,32754368512000,110000
2025-04-24T17:12:01.971,1350,33214693376000,110000
2025-04-24T17:12:05.752,2143,33792458752000,110000
2025-04-24T17:12:05.843,1263,32974569472000,110000
2025-04-24T17:12:05.853,442,32678871040000,110000
2025-04-24T17:12:06.887,1263,32974569472000,110000
2025-04-24T17:12:08.860,343,32440844288000,110000
2025-04-24T17:12:16.930,1502,32916897792000,110000
2025-04-24T17:12:18.770,98,31735152640000,110000
2025-04-24T17:12:20.935,796,31826378752000,110000
2025-04-24T17:12:24.926,1676,32644268032000,110000
2025-04-24T17:12:25.837,3080,33826013184000,110000
2025-04-24T17:12:27.786,1194,33448525824000,110000
2025-04-24T17:12:30.886,2114,33982251008000,110000
2025-04-24T17:12:49.852,4000,34359738368000,110000
2025-04-24T17:12:54.842,4000,34359738368000,110000
