timestamp,cpu,memory
2025-04-24T17:08:21.908,0.00,0.00
2025-04-24T17:08:31.247,0.25,0.02
2025-04-24T17:08:31.247,0.49,0.02
2025-04-24T17:08:31.267,0.69,0.03
2025-04-24T17:08:31.875,0.98,0.04
2025-04-24T17:08:39.373,0.73,0.03
2025-04-24T17:08:39.896,0.85,0.04
2025-04-24T17:08:40.241,0.98,0.05
2025-04-24T17:08:47.363,0.73,0.05
2025-04-24T17:08:49.868,0.77,0.06
2025-04-24T17:08:50.902,0.91,0.08
2025-04-24T17:08:59.988,0.62,0.06
2025-04-24T17:09:01.893,0.81,0.07
2025-04-24T17:09:02.903,0.94,0.09
2025-04-24T17:09:02.938,0.91,0.08
2025-04-24T17:09:09.999,0.79,0.07
2025-04-24T17:09:11.465,0.59,0.06
2025-04-24T17:09:13.909,0.74,0.08
2025-04-24T17:09:14.298,1.00,0.10
2025-04-24T17:09:14.940,0.81,0.10
2025-04-24T17:09:14.954,0.67,0.07
2025-04-24T17:09:15.865,0.87,0.10
2025-04-24T17:09:17.288,0.75,0.08
2025-04-24T17:09:18.894,0.86,0.09
2025-04-24T17:09:18.894,0.97,0.10
2025-04-24T17:09:22.963,0.85,0.09
2025-04-24T17:09:32.955,0.71,0.08
2025-04-24T17:09:33.326,0.91,0.09
2025-04-24T17:09:33.960,0.80,0.08
2025-04-24T17:09:33.982,0.67,0.06
2025-04-24T17:09:35.335,0.87,0.07
2025-04-24T17:09:36.420,0.61,0.05
2025-04-24T17:09:38.877,0.77,0.06
2025-04-24T17:09:49.966,0.97,0.08
2025-04-24T17:09:51.453,0.77,0.06
2025-04-24T17:09:51.874,0.97,0.08
2025-04-24T17:10:05.417,0.78,0.06
2025-04-24T17:10:10.991,0.57,0.04
2025-04-24T17:10:11.425,0.84,0.06
2025-04-24T17:10:15.946,0.64,0.05
2025-04-24T17:10:16.026,0.97,0.05
2025-04-24T17:10:18.512,0.70,0.03
2025-04-24T17:10:18.526,0.91,0.04
2025-04-24T17:10:23.957,0.74,0.04
2025-04-24T17:10:27.114,0.54,0.02
2025-04-24T17:10:27.468,0.82,0.03
2025-04-24T17:10:27.575,0.61,0.02
2025-04-24T17:10:28.471,0.97,0.03
2025-04-24T17:10:32.097,0.64,0.03
2025-04-24T17:10:32.874,0.82,0.05
2025-04-24T17:10:32.876,0.98,0.05
2025-04-24T17:10:36.536,0.70,0.04
2025-04-24T17:10:37.872,0.93,0.05
2025-04-24T17:10:39.904,0.76,0.03
2025-04-24T17:10:44.530,0.40,0.02
2025-04-24T17:10:44.558,0.69,0.04
2025-04-24T17:10:45.497,0.95,0.06
2025-04-24T17:11:07.564,0.69,0.04
2025-04-24T17:11:10.859,0.88,0.05
2025-04-24T17:11:11.900,0.64,0.03
2025-04-24T17:11:12.546,0.95,0.04
2025-04-24T17:11:12.611,0.65,0.02
2025-04-24T17:11:13.543,0.80,0.02
2025-04-24T17:11:25.606,0.50,0.02
2025-04-24T17:11:26.586,0.83,0.03
2025-04-24T17:11:28.879,0.99,0.04
2025-04-24T17:11:28.899,0.81,0.03
2025-04-24T17:11:35.872,0.97,0.05
2025-04-24T17:11:36.640,0.63,0.04
2025-04-24T17:11:37.679,0.96,0.04
2025-04-24T17:11:40.910,0.80,0.03
2025-04-24T17:11:42.904,0.64,0.02
2025-04-24T17:11:43.691,0.94,0.05
2025-04-24T17:11:47.725,0.61,0.05
2025-04-24T17:11:47.855,0.78,0.05
2025-04-24T17:11:50.706,0.98,0.07
2025-04-24T17:11:50.740,0.68,0.04
2025-04-24T17:11:50.844,0.94,0.05
2025-04-24T17:11:51.598,0.79,0.04
2025-04-24T17:11:52.899,0.95,0.05
2025-04-24T17:11:52.917,0.69,0.05
2025-04-24T17:11:57.846,0.98,0.06
2025-04-24T17:11:58.905,0.82,0.05
2025-04-24T17:12:01.971,0.66,0.03
2025-04-24T17:12:05.752,0.46,0.02
2025-04-24T17:12:05.843,0.68,0.04
2025-04-24T17:12:05.853,0.89,0.05
2025-04-24T17:12:06.887,0.68,0.04
2025-04-24T17:12:08.860,0.91,0.06
2025-04-24T17:12:16.930,0.62,0.04
2025-04-24T17:12:18.770,0.98,0.08
2025-04-24T17:12:20.935,0.80,0.07
2025-04-24T17:12:24.926,0.58,0.05
2025-04-24T17:12:25.837,0.23,0.02
2025-04-24T17:12:27.786,0.70,0.03
2025-04-24T17:12:30.886,0.47,0.01
2025-04-24T17:12:49.852,0.00,0.00
2025-04-24T17:12:54.842,0.00,0.00
