timestamp,pod_name,node_name,phase,event_type,cpu_req,mem_req
2025-04-24T17:08:23.909,pod-0,,Pending,add,1321m,824Mi
2025-04-24T17:08:23.982,pod-0,node-tg96x,Pending,update,1321m,824Mi
2025-04-24T17:08:24.049,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-24T17:08:24.223,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-24T17:08:24.858,pod-1,,Pending,add,1006m,512Mi
2025-04-24T17:08:29.881,pod-2,,Pending,add,968m,146Mi
2025-04-24T17:08:29.881,pod-4,,Pending,add,788m,298Mi
2025-04-24T17:08:29.881,pod-3,,Pending,add,1327m,444Mi
2025-04-24T17:08:30.852,pod-5,,Pending,add,1124m,416Mi
2025-04-24T17:08:31.247,pod-1,node-vkqxp,Pending,update,1006m,512Mi
2025-04-24T17:08:31.247,pod-2,node-vkqxp,Pending,update,968m,146Mi
2025-04-24T17:08:31.264,pod-5,node-tg96x,Pending,update,1124m,416Mi
2025-04-24T17:08:31.267,pod-3,node-tg96x,Pending,update,1327m,444Mi
2025-04-24T17:08:31.267,pod-4,node-vkqxp,Pending,update,788m,298Mi
2025-04-24T17:08:31.282,pod-2,node-vkqxp,Running,update,968m,146Mi
2025-04-24T17:08:31.300,pod-5,node-tg96x,Running,update,1124m,416Mi
2025-04-24T17:08:31.304,pod-3,node-tg96x,Running,update,1327m,444Mi
2025-04-24T17:08:31.325,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-24T17:08:31.325,pod-4,node-vkqxp,Running,update,788m,298Mi
2025-04-24T17:08:31.461,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-24T17:08:31.483,pod-2,node-vkqxp,Running,update,968m,146Mi
2025-04-24T17:08:31.491,pod-5,node-tg96x,Running,update,1124m,416Mi
2025-04-24T17:08:31.508,pod-3,node-tg96x,Running,update,1327m,444Mi
2025-04-24T17:08:31.668,pod-4,node-vkqxp,Running,update,788m,298Mi
2025-04-24T17:08:31.864,pod-6,,Pending,add,1163m,502Mi
2025-04-24T17:08:31.875,pod-6,node-vkqxp,Pending,update,1163m,502Mi
2025-04-24T17:08:31.888,pod-6,node-vkqxp,Running,update,1163m,502Mi
2025-04-24T17:08:32.065,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-24T17:08:32.079,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-24T17:08:32.081,pod-0,node-tg96x,Running,delete,1321m,824Mi
2025-04-24T17:08:34.080,pod-6,node-vkqxp,Running,update,1163m,502Mi
2025-04-24T17:08:35.864,pod-7,,Pending,add,591m,246Mi
2025-04-24T17:08:35.880,pod-7,node-tg96x,Pending,update,591m,246Mi
2025-04-24T17:08:35.895,pod-7,node-tg96x,Running,update,591m,246Mi
2025-04-24T17:08:36.025,pod-7,node-tg96x,Running,update,591m,246Mi
2025-04-24T17:08:37.868,pod-9,,Pending,add,668m,323Mi
2025-04-24T17:08:37.868,pod-8,,Pending,add,417m,315Mi
2025-04-24T17:08:37.875,pod-9,node-tg96x,Pending,update,668m,323Mi
2025-04-24T17:08:37.892,pod-9,node-tg96x,Running,update,668m,323Mi
2025-04-24T17:08:37.901,pod-8,,Pending,update,417m,315Mi
2025-04-24T17:08:37.911,pod-9,node-tg96x,Running,update,668m,323Mi
2025-04-24T17:08:37.932,pod-8,,Pending,update,417m,315Mi
2025-04-24T17:08:38.859,pod-10,,Pending,add,1038m,256Mi
2025-04-24T17:08:38.859,pod-11,,Pending,add,506m,381Mi
2025-04-24T17:08:38.888,pod-10,,Pending,update,1038m,256Mi
2025-04-24T17:08:38.902,pod-11,,Pending,update,506m,381Mi
2025-04-24T17:08:38.914,pod-10,,Pending,update,1038m,256Mi
2025-04-24T17:08:38.950,pod-11,,Pending,update,506m,381Mi
2025-04-24T17:08:39.360,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-24T17:08:39.368,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-24T17:08:39.373,pod-1,node-vkqxp,Running,delete,1006m,512Mi
2025-04-24T17:08:39.866,pod-12,,Pending,add,482m,419Mi
2025-04-24T17:08:39.866,pod-13,,Pending,add,1198m,654Mi
2025-04-24T17:08:39.896,pod-12,node-vkqxp,Pending,update,482m,419Mi
2025-04-24T17:08:39.917,pod-13,,Pending,update,1198m,654Mi
2025-04-24T17:08:39.924,pod-12,node-vkqxp,Running,update,482m,419Mi
2025-04-24T17:08:40.051,pod-12,node-vkqxp,Running,update,482m,419Mi
2025-04-24T17:08:40.241,pod-11,node-vkqxp,Pending,update,506m,381Mi
2025-04-24T17:08:40.250,pod-11,node-vkqxp,Running,update,506m,381Mi
2025-04-24T17:08:40.285,pod-13,,Pending,update,1198m,654Mi
2025-04-24T17:08:41.101,pod-11,node-vkqxp,Running,update,506m,381Mi
2025-04-24T17:08:41.701,pod-13,,Pending,update,1198m,654Mi
2025-04-24T17:08:42.330,pod-3,node-tg96x,Running,update,1327m,444Mi
2025-04-24T17:08:42.353,pod-3,node-tg96x,Running,update,1327m,444Mi
2025-04-24T17:08:42.362,pod-3,node-tg96x,Running,delete,1327m,444Mi
2025-04-24T17:08:42.377,pod-10,node-tg96x,Pending,update,1038m,256Mi
2025-04-24T17:08:42.390,pod-10,node-tg96x,Running,update,1038m,256Mi
2025-04-24T17:08:42.882,pod-10,node-tg96x,Running,update,1038m,256Mi
2025-04-24T17:08:45.317,pod-5,node-tg96x,Running,update,1124m,416Mi
2025-04-24T17:08:45.336,pod-5,node-tg96x,Running,update,1124m,416Mi
2025-04-24T17:08:45.354,pod-5,node-tg96x,Running,delete,1124m,416Mi
2025-04-24T17:08:47.272,pod-8,node-tg96x,Pending,update,417m,315Mi
2025-04-24T17:08:47.305,pod-8,node-tg96x,Running,update,417m,315Mi
2025-04-24T17:08:47.314,pod-2,node-vkqxp,Running,update,968m,146Mi
2025-04-24T17:08:47.347,pod-2,node-vkqxp,Running,update,968m,146Mi
2025-04-24T17:08:47.363,pod-2,node-vkqxp,Running,delete,968m,146Mi
2025-04-24T17:08:47.458,pod-8,node-tg96x,Running,update,417m,315Mi
2025-04-24T17:08:49.261,pod-13,node-tg96x,Pending,update,1198m,654Mi
2025-04-24T17:08:49.275,pod-13,node-tg96x,Running,update,1198m,654Mi
2025-04-24T17:08:49.409,pod-13,node-tg96x,Running,update,1198m,654Mi
2025-04-24T17:08:49.852,pod-14,,Pending,add,125m,204Mi
2025-04-24T17:08:49.868,pod-14,node-vkqxp,Pending,update,125m,204Mi
2025-04-24T17:08:49.880,pod-14,node-vkqxp,Running,update,125m,204Mi
2025-04-24T17:08:50.018,pod-14,node-vkqxp,Running,update,125m,204Mi
2025-04-24T17:08:50.883,pod-15,,Pending,add,589m,774Mi
2025-04-24T17:08:50.902,pod-15,node-vkqxp,Pending,update,589m,774Mi
2025-04-24T17:08:50.925,pod-15,node-vkqxp,Running,update,589m,774Mi
2025-04-24T17:08:51.049,pod-15,node-vkqxp,Running,update,589m,774Mi
2025-04-24T17:08:52.862,pod-16,,Pending,add,714m,690Mi
2025-04-24T17:08:52.878,pod-16,,Pending,update,714m,690Mi
2025-04-24T17:08:52.899,pod-16,,Pending,update,714m,690Mi
2025-04-24T17:08:54.876,pod-8,node-tg96x,Running,update,417m,315Mi
2025-04-24T17:08:54.879,pod-17,,Pending,add,393m,325Mi
2025-04-24T17:08:54.909,pod-8,node-tg96x,Running,update,417m,315Mi
2025-04-24T17:08:54.974,pod-17,,Pending,update,393m,325Mi
2025-04-24T17:08:54.981,pod-8,node-tg96x,Running,delete,417m,315Mi
2025-04-24T17:08:54.991,pod-7,node-tg96x,Running,update,591m,246Mi
2025-04-24T17:08:55.075,pod-7,node-tg96x,Running,update,591m,246Mi
2025-04-24T17:08:55.138,pod-7,node-tg96x,Running,delete,591m,246Mi
2025-04-24T17:08:55.139,pod-17,,Pending,update,393m,325Mi
2025-04-24T17:08:56.293,pod-17,node-tg96x,Pending,update,393m,325Mi
2025-04-24T17:08:56.349,pod-17,node-tg96x,Running,update,393m,325Mi
2025-04-24T17:08:56.471,pod-17,node-tg96x,Running,update,393m,325Mi
2025-04-24T17:08:57.853,pod-18,,Pending,add,1044m,752Mi
2025-04-24T17:08:57.869,pod-18,,Pending,update,1044m,752Mi
