timestamp,memory,cpu
2025-04-29T18:19:43.612,0.00,0.00
2025-04-29T18:19:43.617,0.00,0.00
2025-04-29T18:19:43.747,0.00,0.00
2025-04-29T18:19:48.752,0.12,0.50
2025-04-29T18:20:53.646,0.50,0.70
2025-04-29T18:21:48.837,0.38,0.20
2025-04-29T18:22:53.695,0.00,0.00
2025-04-29T18:22:53.696,0.00,0.00
