timestamp,memory,pods,cpu
2025-04-29T18:08:25.618,8589934592000,110000,4000
2025-04-29T18:08:25.626,8589934592000,110000,4000
2025-04-29T18:08:25.719,8589934592000,110000,4000
2025-04-29T18:08:35.646,7516192768000,110000,2500
2025-04-29T18:09:30.834,5368709120000,110000,1500
2025-04-29T18:09:35.649,2147483648000,110000,700
2025-04-29T18:10:35.699,3221225472000,110000,2200
2025-04-29T18:11:30.904,5368709120000,110000,3200
2025-04-29T18:11:35.738,8589934592000,110000,4000
2025-04-29T18:11:35.738,8589934592000,110000,4000
