timestamp,cpu,memory
2025-04-24T14:12:30.139,0.00,0.00
2025-04-24T14:12:32.282,0.33,0.03
2025-04-24T14:12:38.205,0.53,0.03
2025-04-24T14:12:39.134,0.81,0.05
2025-04-24T14:12:40.361,0.48,0.02
2025-04-24T14:12:42.160,0.77,0.04
2025-04-24T14:12:46.145,0.87,0.05
2025-04-24T14:12:47.174,1.00,0.06
2025-04-24T14:12:50.246,0.90,0.05
2025-04-24T14:12:53.216,0.61,0.04
2025-04-24T14:12:56.168,0.87,0.04
2025-04-24T14:13:06.452,0.97,0.05
2025-04-24T14:13:10.205,0.68,0.04
2025-04-24T14:13:11.135,0.81,0.06
2025-04-24T14:13:11.142,0.90,0.07
2025-04-24T14:13:14.250,0.64,0.06
2025-04-24T14:13:14.269,0.97,0.07
2025-04-24T14:13:18.314,0.78,0.06
2025-04-24T14:13:24.197,0.65,0.04
2025-04-24T14:13:25.134,0.95,0.07
2025-04-24T14:13:28.511,0.85,0.06
2025-04-24T14:13:31.486,0.97,0.07
2025-04-24T14:13:36.578,0.85,0.06
2025-04-24T14:13:38.176,0.55,0.03
2025-04-24T14:13:38.500,0.75,0.05
2025-04-24T14:13:40.325,0.42,0.05
2025-04-24T14:13:41.492,0.75,0.06
2025-04-24T14:13:42.194,0.62,0.04
2025-04-24T14:13:43.500,0.88,0.06
2025-04-24T14:13:53.192,0.79,0.05
2025-04-24T14:13:56.539,0.58,0.04
2025-04-24T14:13:57.545,0.26,0.02
2025-04-24T14:13:58.132,0.46,0.04
2025-04-24T14:14:00.132,0.67,0.05
2025-04-24T14:14:05.540,0.40,0.03
2025-04-24T14:14:08.133,0.58,0.04
2025-04-24T14:14:09.132,0.73,0.04
2025-04-24T14:14:17.149,0.98,0.06
2025-04-24T14:14:24.187,0.78,0.05
2025-04-24T14:14:30.134,0.89,0.06
2025-04-24T14:14:30.144,0.99,0.07
2025-04-24T14:14:31.176,0.82,0.07
2025-04-24T14:14:35.178,0.62,0.05
2025-04-24T14:14:36.593,0.98,0.07
2025-04-24T14:14:38.163,0.83,0.06
2025-04-24T14:14:39.194,0.57,0.04
2025-04-24T14:14:39.601,0.75,0.06
2025-04-24T14:14:41.145,0.91,0.06
2025-04-24T14:14:52.640,0.55,0.04
2025-04-24T14:14:52.658,0.84,0.06
2025-04-24T14:14:57.187,0.94,0.07
2025-04-24T14:14:57.198,0.99,0.08
2025-04-24T14:14:58.194,0.89,0.07
2025-04-24T14:15:01.193,0.78,0.05
2025-04-24T14:15:04.637,0.96,0.07
2025-04-24T14:15:12.641,0.78,0.06
2025-04-24T14:15:13.138,0.92,0.07
2025-04-24T14:15:13.683,0.75,0.05
2025-04-24T14:15:14.288,0.66,0.04
2025-04-24T14:15:14.641,0.96,0.05
2025-04-24T14:15:20.724,0.66,0.03
2025-04-24T14:15:21.666,0.82,0.03
2025-04-24T14:15:23.174,0.68,0.02
2025-04-24T14:15:23.667,0.86,0.03
2025-04-24T14:15:24.132,0.96,0.04
2025-04-24T14:15:27.695,0.65,0.04
2025-04-24T14:15:30.290,0.59,0.02
2025-04-24T14:15:32.678,0.84,0.03
2025-04-24T14:15:37.124,0.99,0.05
2025-04-24T14:15:45.735,0.75,0.04
2025-04-24T14:15:48.709,0.91,0.05
2025-04-24T14:15:51.182,0.75,0.05
2025-04-24T14:15:53.174,0.66,0.04
2025-04-24T14:15:53.758,0.50,0.02
2025-04-24T14:15:54.124,0.70,0.04
2025-04-24T14:15:55.717,0.51,0.04
2025-04-24T14:15:56.126,0.90,0.06
2025-04-24T14:15:59.714,0.75,0.05
2025-04-24T14:15:59.734,0.93,0.05
2025-04-24T14:16:05.176,0.53,0.03
2025-04-24T14:16:06.129,0.82,0.05
2025-04-24T14:16:07.166,0.66,0.03
2025-04-24T14:16:07.756,0.92,0.04
2025-04-24T14:16:09.176,0.72,0.02
2025-04-24T14:16:09.812,0.46,0.02
2025-04-24T14:16:10.741,0.72,0.04
2025-04-24T14:16:14.129,0.92,0.05
2025-04-24T14:16:15.194,0.72,0.04
2025-04-24T14:16:15.749,0.94,0.06
2025-04-24T14:16:20.791,0.68,0.04
2025-04-24T14:16:20.808,0.93,0.05
2025-04-24T14:16:23.851,0.68,0.04
2025-04-24T14:16:24.766,0.91,0.05
2025-04-24T14:16:25.171,0.62,0.03
2025-04-24T14:16:25.765,0.85,0.05
2025-04-24T14:16:32.789,0.67,0.05
2025-04-24T14:16:34.786,0.92,0.06
2025-04-24T14:16:34.803,0.70,0.03
2025-04-24T14:16:36.122,0.83,0.04
2025-04-24T14:16:37.813,0.61,0.04
2025-04-24T14:16:38.784,0.94,0.04
2025-04-24T14:16:42.868,0.61,0.04
2025-04-24T14:16:47.816,0.38,0.02
2025-04-24T14:16:53.840,0.13,0.01
2025-04-24T14:17:02.155,0.00,0.00
2025-04-24T14:17:03.838,0.00,0.00
