timestamp,cpu,memory,pods
2025-04-24T14:12:30.139,4000,34359738368000,110000
2025-04-24T14:12:32.282,2679,33495711744000,110000
2025-04-24T14:12:38.205,1891,33183236096000,110000
2025-04-24T14:12:39.134,767,32747028480000,110000
2025-04-24T14:12:40.361,2088,33611055104000,110000
2025-04-24T14:12:42.160,925,33084669952000,110000
2025-04-24T14:12:46.145,508,32754368512000,110000
2025-04-24T14:12:47.174,2,32354861056000,110000
2025-04-24T14:12:50.246,419,32685162496000,110000
2025-04-24T14:12:53.216,1543,33121370112000,110000
2025-04-24T14:12:56.168,505,32852934656000,110000
2025-04-24T14:13:06.452,112,32512147456000,110000
2025-04-24T14:13:10.205,1275,33038532608000,110000
2025-04-24T14:13:11.135,760,32321306624000,110000
2025-04-24T14:13:11.142,386,31975276544000,110000
2025-04-24T14:13:14.250,1424,32243712000000,110000
2025-04-24T14:13:14.269,105,32123125760000,110000
2025-04-24T14:13:18.314,893,32435601408000,110000
2025-04-24T14:13:24.197,1399,32835108864000,110000
2025-04-24T14:13:25.134,207,32049725440000,110000
2025-04-24T14:13:28.511,600,32390512640000,110000
2025-04-24T14:13:31.486,130,32119980032000,110000
2025-04-24T14:13:36.578,600,32390512640000,110000
2025-04-24T14:13:38.176,1792,33175896064000,110000
2025-04-24T14:13:38.500,981,32671531008000,110000
2025-04-24T14:13:40.325,2300,32792117248000,110000
2025-04-24T14:13:41.492,1011,32364298240000,110000
2025-04-24T14:13:42.194,1526,33081524224000,110000
2025-04-24T14:13:43.500,482,32292995072000,110000
2025-04-24T14:13:53.192,856,32639025152000,110000
2025-04-24T14:13:56.539,1667,33143390208000,110000
2025-04-24T14:13:57.545,2956,33571209216000,110000
2025-04-24T14:13:58.132,2145,33050066944000,110000
2025-04-24T14:14:00.132,1338,32577159168000,110000
2025-04-24T14:14:05.540,2382,33365688320000,110000
2025-04-24T14:14:08.133,1685,33137098752000,110000
2025-04-24T14:14:09.132,1095,32936820736000,110000
2025-04-24T14:14:17.149,64,32273072128000,110000
2025-04-24T14:14:24.187,871,32745979904000,110000
2025-04-24T14:14:30.134,448,32337035264000,110000
2025-04-24T14:14:30.144,31,31797018624000,110000
2025-04-24T14:14:31.176,728,32025608192000,110000
2025-04-24T14:14:35.178,1539,32546750464000,110000
