timestamp,pods,cpu,memory
2025-04-24T14:12:30.139,110000,4000,34359738368000
2025-04-24T14:12:33.148,110000,2994,33822867456000
2025-04-24T14:12:38.194,110000,2026,33669775360000
2025-04-24T14:12:38.216,110000,699,33204207616000
2025-04-24T14:12:41.201,110000,1705,33741078528000
2025-04-24T14:12:44.139,110000,1114,33483128832000
2025-04-24T14:12:46.140,110000,446,33144438784000
2025-04-24T14:12:49.325,110000,1773,33610006528000
2025-04-24T14:12:50.154,110000,1291,33170653184000
2025-04-24T14:12:50.162,110000,93,32484884480000
2025-04-24T14:12:54.315,110000,1061,32637976576000
2025-04-24T14:12:58.299,110000,936,32424067072000
2025-04-24T14:12:59.238,110000,347,31612469248000
2025-04-24T14:13:03.175,110000,938,31870418944000
2025-04-24T14:13:06.443,110000,224,31146901504000
2025-04-24T14:13:11.355,110000,349,31360811008000
2025-04-24T14:13:18.216,110000,1017,31699501056000
2025-04-24T14:13:18.271,110000,2215,32385269760000
2025-04-24T14:13:18.459,110000,1469,32248954880000
2025-04-24T14:13:20.245,110000,1951,32688308224000
2025-04-24T14:13:22.142,110000,1353,32128368640000
2025-04-24T14:13:22.471,110000,252,31643926528000
2025-04-24T14:13:23.322,110000,841,32455524352000
2025-04-24T14:13:24.132,110000,10,31618760704000
2025-04-24T14:13:31.528,110000,756,31755075584000
2025-04-24T14:13:36.497,110000,324,31496077312000
2025-04-24T14:13:36.578,110000,1425,31980519424000
2025-04-24T14:13:36.587,110000,357,30694965248000
2025-04-24T14:13:41.181,110000,955,31254904832000
2025-04-24T14:13:42.120,110000,172,30813454336000
2025-04-24T14:13:43.491,110000,886,31536971776000
2025-04-24T14:13:47.132,110000,228,31209816064000
2025-04-24T14:13:51.604,110000,660,31468814336000
2025-04-24T14:14:01.631,110000,1728,32754368512000
2025-04-24T14:14:04.537,110000,468,32178700288000
2025-04-24T14:14:12.162,110000,1251,32620150784000
2025-04-24T14:14:13.542,110000,36,32356958208000
2025-04-24T14:14:19.183,110000,867,33193721856000
2025-04-24T14:14:23.133,110000,16,32563527680000
2025-04-24T14:14:23.594,110000,1276,33139195904000
2025-04-24T14:14:23.618,110000,173,32376881152000
2025-04-24T14:14:30.673,110000,1276,33139195904000
2025-04-24T14:14:30.685,110000,145,32654753792000
2025-04-24T14:14:31.616,110000,1360,32917946368000
2025-04-24T14:14:32.190,110000,2018,33245102080000
2025-04-24T14:14:32.193,110000,2869,33875296256000
2025-04-24T14:14:33.586,110000,1690,33606860800000
2025-04-24T14:14:34.596,110000,322,33211547648000
2025-04-24T14:14:39.714,110000,1453,33695989760000
2025-04-24T14:14:41.137,110000,747,32966180864000
2025-04-24T14:14:46.130,110000,82,32427212800000
2025-04-24T14:14:48.197,110000,788,33157021696000
2025-04-24T14:14:52.640,110000,2156,33552334848000
2025-04-24T14:14:52.671,110000,995,32846643200000
2025-04-24T14:14:55.622,110000,60,32355909632000
2025-04-24T14:15:09.740,110000,1221,33061601280000
2025-04-24T14:15:10.170,110000,1886,33600569344000
2025-04-24T14:15:10.646,110000,1120,32824623104000
2025-04-24T14:15:11.132,110000,245,32227983360000
2025-04-24T14:15:14.641,110000,1424,32496418816000
2025-04-24T14:15:15.648,110000,871,32028753920000
2025-04-24T14:15:19.139,110000,135,31639732224000
2025-04-24T14:15:24.166,110000,1010,32236371968000
2025-04-24T14:15:29.671,110000,1945,32727105536000
2025-04-24T14:15:29.698,110000,2498,33194770432000
2025-04-24T14:15:31.132,110000,1144,32197574656000
2025-04-24T14:15:35.694,110000,1910,32973520896000
2025-04-24T14:15:36.683,110000,596,32915849216000
2025-04-24T14:15:37.179,110000,1332,33304870912000
2025-04-24T14:15:39.699,110000,141,32426164224000
2025-04-24T14:15:46.781,110000,1332,33304870912000
2025-04-24T14:15:47.702,110000,171,32892780544000
2025-04-24T14:15:52.732,110000,1485,32950452224000
2025-04-24T14:15:53.723,110000,159,32818331648000
2025-04-24T14:16:01.749,110000,1320,33230422016000
2025-04-24T14:16:02.734,110000,681,32770097152000
2025-04-24T14:16:03.766,110000,2007,32902217728000
2025-04-24T14:16:05.749,110000,121,32524730368000
2025-04-24T14:16:09.167,110000,1475,33521926144000
2025-04-24T14:16:11.742,110000,233,32659996672000
2025-04-24T14:16:11.787,110000,872,33120321536000
2025-04-24T14:16:19.129,110000,145,32776388608000
2025-04-24T14:16:23.185,110000,872,33120321536000
2025-04-24T14:16:27.126,110000,441,32899072000000
2025-04-24T14:16:27.809,110000,2327,33276559360000
2025-04-24T14:16:28.130,110000,1628,32571916288000
2025-04-24T14:16:28.778,110000,546,32193380352000
2025-04-24T14:16:29.790,110000,1788,33055309824000
2025-04-24T14:16:32.171,110000,2219,33276559360000
2025-04-24T14:16:32.773,110000,875,32954646528000
2025-04-24T14:16:36.880,110000,1957,33333182464000
2025-04-24T14:16:37.784,110000,612,33271316480000
2025-04-24T14:16:42.849,110000,1956,33593229312000
2025-04-24T14:16:45.801,110000,552,32411484160000
2025-04-24T14:16:52.838,110000,1956,33593229312000
2025-04-24T14:16:55.172,110000,2655,34297872384000
2025-04-24T14:17:03.836,110000,4000,34359738368000
2025-04-24T14:17:03.838,110000,4000,34359738368000
