timestamp,pod_name,node_name,phase,event_type,cpu_req,mem_req
2025-04-24T14:14:13.542,pod-40,node-vkqxp,Pending,update,1215m,251Mi
2025-04-24T14:14:13.566,pod-40,node-vkqxp,Running,update,1215m,251Mi
2025-04-24T14:14:13.697,pod-40,node-vkqxp,Running,update,1215m,251Mi
2025-04-24T14:14:16.115,pod-41,,Pending,add,1103m,727Mi
2025-04-24T14:14:16.132,pod-41,,Pending,update,1103m,727Mi
2025-04-24T14:14:16.144,pod-41,,Pending,update,1103m,727Mi
2025-04-24T14:14:17.128,pod-43,,Pending,add,1031m,633Mi
2025-04-24T14:14:17.128,pod-42,,Pending,add,1179m,256Mi
2025-04-24T14:14:17.149,pod-43,node-tg96x,Pending,update,1031m,633Mi
2025-04-24T14:14:17.152,pod-42,,Pending,update,1179m,256Mi
2025-04-24T14:14:17.164,pod-43,node-tg96x,Running,update,1031m,633Mi
2025-04-24T14:14:17.195,pod-43,node-tg96x,Running,update,1031m,633Mi
2025-04-24T14:14:17.210,pod-42,,Pending,update,1179m,256Mi
2025-04-24T14:14:18.117,pod-44,,Pending,add,1443m,494Mi
2025-04-24T14:14:18.133,pod-44,,Pending,update,1443m,494Mi
2025-04-24T14:14:18.143,pod-44,,Pending,update,1443m,494Mi
2025-04-24T14:14:19.166,pod-25,node-vkqxp,Running,update,831m,798Mi
2025-04-24T14:14:19.180,pod-25,node-vkqxp,Running,update,831m,798Mi
2025-04-24T14:14:19.183,pod-25,node-vkqxp,Running,delete,831m,798Mi
2025-04-24T14:14:20.110,pod-45,,Pending,add,1314m,55Mi
2025-04-24T14:14:20.130,pod-45,,Pending,update,1314m,55Mi
2025-04-24T14:14:20.145,pod-45,,Pending,update,1314m,55Mi
2025-04-24T14:14:23.124,pod-46,,Pending,add,851m,601Mi
2025-04-24T14:14:23.133,pod-46,node-vkqxp,Pending,update,851m,601Mi
2025-04-24T14:14:23.151,pod-46,node-vkqxp,Running,update,851m,601Mi
2025-04-24T14:14:23.264,pod-46,node-vkqxp,Running,update,851m,601Mi
2025-04-24T14:14:23.562,pod-28,node-vkqxp,Running,update,1260m,549Mi
2025-04-24T14:14:23.582,pod-28,node-vkqxp,Running,update,1260m,549Mi
2025-04-24T14:14:23.594,pod-28,node-vkqxp,Running,delete,1260m,549Mi
2025-04-24T14:14:23.618,pod-41,node-vkqxp,Pending,update,1103m,727Mi
2025-04-24T14:14:23.633,pod-41,node-vkqxp,Running,update,1103m,727Mi
2025-04-24T14:14:23.754,pod-41,node-vkqxp,Running,update,1103m,727Mi
2025-04-24T14:14:24.161,pod-37,node-tg96x,Running,update,807m,451Mi
2025-04-24T14:14:24.176,pod-37,node-tg96x,Running,update,807m,451Mi
2025-04-24T14:14:24.187,pod-37,node-tg96x,Running,delete,807m,451Mi
2025-04-24T14:14:27.119,pod-47,,Pending,add,1131m,462Mi
2025-04-24T14:14:27.132,pod-47,,Pending,update,1131m,462Mi
2025-04-24T14:14:27.145,pod-47,,Pending,update,1131m,462Mi
2025-04-24T14:14:30.121,pod-49,,Pending,add,423m,390Mi
2025-04-24T14:14:30.121,pod-48,,Pending,add,417m,515Mi
2025-04-24T14:14:30.134,pod-49,node-tg96x,Pending,update,423m,390Mi
2025-04-24T14:14:30.144,pod-48,node-tg96x,Pending,update,417m,515Mi
2025-04-24T14:14:30.159,pod-48,node-tg96x,Running,update,417m,515Mi
2025-04-24T14:14:30.159,pod-49,node-tg96x,Running,update,423m,390Mi
2025-04-24T14:14:30.176,pod-49,node-tg96x,Running,update,423m,390Mi
2025-04-24T14:14:30.195,pod-48,node-tg96x,Running,update,417m,515Mi
2025-04-24T14:14:30.663,pod-41,node-vkqxp,Running,update,1103m,727Mi
2025-04-24T14:14:30.663,pod-41,node-vkqxp,Running,update,1103m,727Mi
2025-04-24T14:14:30.673,pod-41,node-vkqxp,Running,delete,1103m,727Mi
2025-04-24T14:14:30.685,pod-47,node-vkqxp,Pending,update,1131m,462Mi
2025-04-24T14:14:30.699,pod-47,node-vkqxp,Running,update,1131m,462Mi
2025-04-24T14:14:30.713,pod-47,node-vkqxp,Running,update,1131m,462Mi
2025-04-24T14:14:31.151,pod-38,node-tg96x,Running,update,697m,218Mi
2025-04-24T14:14:31.171,pod-38,node-tg96x,Running,update,697m,218Mi
2025-04-24T14:14:31.176,pod-38,node-tg96x,Running,delete,697m,218Mi
2025-04-24T14:14:31.580,pod-40,node-vkqxp,Running,update,1215m,251Mi
2025-04-24T14:14:31.603,pod-40,node-vkqxp,Running,update,1215m,251Mi
2025-04-24T14:14:31.616,pod-40,node-vkqxp,Running,delete,1215m,251Mi
2025-04-24T14:14:32.158,pod-34,node-vkqxp,Running,update,658m,312Mi
2025-04-24T14:14:32.165,pod-46,node-vkqxp,Running,update,851m,601Mi
2025-04-24T14:14:32.178,pod-34,node-vkqxp,Running,update,658m,312Mi
2025-04-24T14:14:32.184,pod-46,node-vkqxp,Running,update,851m,601Mi
2025-04-24T14:14:32.190,pod-34,node-vkqxp,Running,delete,658m,312Mi
2025-04-24T14:14:32.193,pod-46,node-vkqxp,Running,delete,851m,601Mi
2025-04-24T14:14:33.586,pod-42,node-vkqxp,Pending,update,1179m,256Mi
2025-04-24T14:14:33.601,pod-42,node-vkqxp,Running,update,1179m,256Mi
2025-04-24T14:14:33.738,pod-42,node-vkqxp,Running,update,1179m,256Mi
2025-04-24T14:14:34.596,pod-35,node-vkqxp,Pending,update,1368m,377Mi
2025-04-24T14:14:34.599,pod-35,node-vkqxp,Running,update,1368m,377Mi
2025-04-24T14:14:34.611,pod-35,node-vkqxp,Running,update,1368m,377Mi
2025-04-24T14:14:35.152,pod-36,node-tg96x,Running,update,811m,497Mi
2025-04-24T14:14:35.164,pod-36,node-tg96x,Running,update,811m,497Mi
2025-04-24T14:14:35.178,pod-36,node-tg96x,Running,delete,811m,497Mi
2025-04-24T14:14:36.593,pod-44,node-tg96x,Pending,update,1443m,494Mi
2025-04-24T14:14:36.601,pod-44,node-tg96x,Running,update,1443m,494Mi
2025-04-24T14:14:36.735,pod-44,node-tg96x,Running,update,1443m,494Mi
2025-04-24T14:14:38.119,pod-50,,Pending,add,701m,423Mi
2025-04-24T14:14:38.129,pod-50,,Pending,update,701m,423Mi
2025-04-24T14:14:38.140,pod-50,,Pending,update,701m,423Mi
2025-04-24T14:14:38.146,pod-39,node-tg96x,Running,update,590m,191Mi
2025-04-24T14:14:38.151,pod-39,node-tg96x,Running,update,590m,191Mi
2025-04-24T14:14:38.163,pod-39,node-tg96x,Running,delete,590m,191Mi
2025-04-24T14:14:39.181,pod-43,node-tg96x,Running,update,1031m,633Mi
2025-04-24T14:14:39.191,pod-43,node-tg96x,Running,update,1031m,633Mi
2025-04-24T14:14:39.194,pod-43,node-tg96x,Running,delete,1031m,633Mi
2025-04-24T14:14:39.601,pod-50,node-tg96x,Pending,update,701m,423Mi
