timestamp,pod_name,node_name,phase,event_type,cpu_req,mem_req
2025-04-18T22:08:29.503,pod-68,node-vkqxp,Running,update,563m,337Mi
2025-04-18T22:08:29.924,pod-68,node-vkqxp,Running,update,563m,337Mi
2025-04-18T22:08:34.482,pod-69,,Pending,add,1886m,360Mi
2025-04-18T22:08:34.497,pod-69,,Pending,update,1886m,360Mi
2025-04-18T22:08:34.525,pod-69,,Pending,update,1886m,360Mi
2025-04-18T22:08:35.468,pod-70,,Pending,add,736m,371Mi
2025-04-18T22:08:35.488,pod-70,,Pending,update,736m,371Mi
2025-04-18T22:08:35.499,pod-70,,Pending,update,736m,371Mi
2025-04-18T22:08:36.481,pod-71,,Pending,add,609m,211Mi
2025-04-18T22:08:36.494,pod-71,,Pending,update,609m,211Mi
2025-04-18T22:08:36.510,pod-71,,Pending,update,609m,211Mi
2025-04-18T22:08:37.510,pod-65,node-tg96x,Running,update,553m,446Mi
2025-04-18T22:08:37.530,pod-65,node-tg96x,Running,update,553m,446Mi
2025-04-18T22:08:37.530,pod-65,node-tg96x,Running,delete,553m,446Mi
2025-04-18T22:08:37.830,pod-71,node-tg96x,Pending,update,609m,211Mi
2025-04-18T22:08:37.841,pod-71,node-tg96x,Running,update,609m,211Mi
2025-04-18T22:08:37.973,pod-71,node-tg96x,Running,update,609m,211Mi
2025-04-18T22:08:38.843,pod-62,node-tg96x,Running,update,1222m,92Mi
2025-04-18T22:08:38.849,pod-62,node-tg96x,Running,update,1222m,92Mi
2025-04-18T22:08:38.854,pod-62,node-tg96x,Running,delete,1222m,92Mi
2025-04-18T22:08:39.518,pod-68,node-vkqxp,Running,update,563m,337Mi
2025-04-18T22:08:39.533,pod-68,node-vkqxp,Running,update,563m,337Mi
2025-04-18T22:08:39.536,pod-68,node-vkqxp,Running,delete,563m,337Mi
2025-04-18T22:08:39.825,pod-55,node-vkqxp,Running,update,935m,468Mi
2025-04-18T22:08:39.828,pod-63,node-tg96x,Pending,update,1344m,307Mi
2025-04-18T22:08:39.835,pod-55,node-vkqxp,Running,update,935m,468Mi
2025-04-18T22:08:39.838,pod-63,node-tg96x,Running,update,1344m,307Mi
2025-04-18T22:08:39.838,pod-55,node-vkqxp,Running,delete,935m,468Mi
2025-04-18T22:08:39.856,pod-63,node-tg96x,Running,update,1344m,307Mi
2025-04-18T22:08:40.468,pod-72,,Pending,add,370m,305Mi
2025-04-18T22:08:40.489,pod-72,node-vkqxp,Pending,update,370m,305Mi
2025-04-18T22:08:40.492,pod-72,node-vkqxp,Running,update,370m,305Mi
2025-04-18T22:08:40.501,pod-72,node-vkqxp,Running,update,370m,305Mi
2025-04-18T22:08:40.524,pod-67,node-vkqxp,Running,update,875m,569Mi
2025-04-18T22:08:40.529,pod-67,node-vkqxp,Running,update,875m,569Mi
2025-04-18T22:08:40.535,pod-67,node-vkqxp,Running,delete,875m,569Mi
2025-04-18T22:08:40.840,pod-44,node-vkqxp,Pending,update,1443m,494Mi
2025-04-18T22:08:40.849,pod-44,node-vkqxp,Running,update,1443m,494Mi
2025-04-18T22:08:40.859,pod-61,node-vkqxp,Running,update,378m,243Mi
2025-04-18T22:08:40.869,pod-61,node-vkqxp,Running,update,378m,243Mi
2025-04-18T22:08:40.877,pod-61,node-vkqxp,Running,delete,378m,243Mi
2025-04-18T22:08:40.883,pod-44,node-vkqxp,Running,update,1443m,494Mi
2025-04-18T22:08:42.849,pod-60,node-vkqxp,Pending,update,754m,156Mi
2025-04-18T22:08:42.849,pod-60,node-vkqxp,Running,update,754m,156Mi
2025-04-18T22:08:42.858,pod-60,node-vkqxp,Running,update,754m,156Mi
2025-04-18T22:08:46.922,pod-56,node-tg96x,Running,update,1186m,605Mi
2025-04-18T22:08:46.930,pod-56,node-tg96x,Running,update,1186m,605Mi
2025-04-18T22:08:46.938,pod-56,node-tg96x,Running,delete,1186m,605Mi
2025-04-18T22:08:47.469,pod-73,,Pending,add,1354m,951Mi
2025-04-18T22:08:47.486,pod-73,,Pending,update,1354m,951Mi
2025-04-18T22:08:47.498,pod-73,,Pending,update,1354m,951Mi
2025-04-18T22:08:49.860,pod-63,node-tg96x,Running,update,1344m,307Mi
2025-04-18T22:08:49.869,pod-63,node-tg96x,Running,update,1344m,307Mi
2025-04-18T22:08:49.877,pod-63,node-tg96x,Running,delete,1344m,307Mi
2025-04-18T22:08:50.846,pod-70,node-tg96x,Pending,update,736m,371Mi
2025-04-18T22:08:50.854,pod-70,node-tg96x,Running,update,736m,371Mi
2025-04-18T22:08:50.869,pod-70,node-tg96x,Running,update,736m,371Mi
2025-04-18T22:08:51.464,pod-74,,Pending,add,1191m,838Mi
2025-04-18T22:08:51.481,pod-74,node-tg96x,Pending,update,1191m,838Mi
2025-04-18T22:08:51.493,pod-74,node-tg96x,Running,update,1191m,838Mi
2025-04-18T22:08:51.511,pod-74,node-tg96x,Running,update,1191m,838Mi
2025-04-18T22:08:51.947,pod-66,node-tg96x,Running,update,766m,740Mi
2025-04-18T22:08:51.967,pod-66,node-tg96x,Running,update,766m,740Mi
2025-04-18T22:08:51.972,pod-66,node-tg96x,Running,delete,766m,740Mi
2025-04-18T22:08:53.464,pod-75,,Pending,add,630m,444Mi
2025-04-18T22:08:53.480,pod-75,node-tg96x,Pending,update,630m,444Mi
2025-04-18T22:08:53.488,pod-75,node-tg96x,Running,update,630m,444Mi
2025-04-18T22:08:53.497,pod-75,node-tg96x,Running,update,630m,444Mi
2025-04-18T22:08:56.469,pod-76,,Pending,add,1082m,361Mi
2025-04-18T22:08:56.488,pod-76,,Pending,update,1082m,361Mi
2025-04-18T22:08:56.499,pod-76,,Pending,update,1082m,361Mi
2025-04-18T22:08:56.842,pod-59,node-vkqxp,Running,update,227m,385Mi
2025-04-18T22:08:56.856,pod-59,node-vkqxp,Running,update,227m,385Mi
2025-04-18T22:08:56.866,pod-44,node-vkqxp,Running,update,1443m,494Mi
2025-04-18T22:08:56.896,pod-59,node-vkqxp,Running,delete,227m,385Mi
2025-04-18T22:08:56.896,pod-44,node-vkqxp,Running,update,1443m,494Mi
2025-04-18T22:08:56.896,pod-44,node-vkqxp,Running,delete,1443m,494Mi
2025-04-18T22:08:57.856,pod-76,node-vkqxp,Pending,update,1082m,361Mi
2025-04-18T22:08:57.864,pod-76,node-vkqxp,Running,update,1082m,361Mi
2025-04-18T22:08:57.879,pod-76,node-vkqxp,Running,update,1082m,361Mi
2025-04-18T22:08:58.508,pod-74,node-tg96x,Running,update,1191m,838Mi
2025-04-18T22:08:58.524,pod-74,node-tg96x,Running,update,1191m,838Mi
2025-04-18T22:08:58.527,pod-74,node-tg96x,Running,delete,1191m,838Mi
2025-04-18T22:08:59.851,pod-64,node-tg96x,Pending,update,1326m,126Mi
2025-04-18T22:08:59.871,pod-64,node-tg96x,Running,update,1326m,126Mi
2025-04-18T22:09:00.005,pod-64,node-tg96x,Running,update,1326m,126Mi
2025-04-18T22:09:00.484,pod-77,,Pending,add,638m,538Mi
2025-04-18T22:09:00.508,pod-77,node-vkqxp,Pending,update,638m,538Mi
2025-04-18T22:09:00.539,pod-77,node-vkqxp,Running,update,638m,538Mi
2025-04-18T22:09:00.658,pod-77,node-vkqxp,Running,update,638m,538Mi
2025-04-18T22:09:02.475,pod-78,,Pending,add,1161m,393Mi
2025-04-18T22:09:02.493,pod-78,,Pending,update,1161m,393Mi
2025-04-18T22:09:02.514,pod-78,,Pending,update,1161m,393Mi
2025-04-18T22:09:05.564,pod-77,node-vkqxp,Running,update,638m,538Mi
2025-04-18T22:09:05.573,pod-77,node-vkqxp,Running,update,638m,538Mi
2025-04-18T22:09:05.580,pod-77,node-vkqxp,Running,delete,638m,538Mi
2025-04-18T22:09:05.875,pod-76,node-vkqxp,Running,update,1082m,361Mi
2025-04-18T22:09:05.892,pod-76,node-vkqxp,Running,update,1082m,361Mi
2025-04-18T22:09:05.894,pod-76,node-vkqxp,Running,delete,1082m,361Mi
2025-04-18T22:09:06.870,pod-78,node-vkqxp,Pending,update,1161m,393Mi
2025-04-18T22:09:06.920,pod-78,node-vkqxp,Running,update,1161m,393Mi
2025-04-18T22:09:06.951,pod-78,node-vkqxp,Running,update,1161m,393Mi
2025-04-18T22:09:07.463,pod-79,,Pending,add,1310m,303Mi
2025-04-18T22:09:07.487,pod-79,,Pending,update,1310m,303Mi
2025-04-18T22:09:07.510,pod-79,,Pending,update,1310m,303Mi
2025-04-18T22:09:07.526,pod-51,node-vkqxp,Running,update,646m,114Mi
2025-04-18T22:09:07.540,pod-51,node-vkqxp,Running,update,646m,114Mi
2025-04-18T22:09:07.546,pod-51,node-vkqxp,Running,delete,646m,114Mi
2025-04-18T22:09:08.872,pod-79,node-vkqxp,Pending,update,1310m,303Mi
2025-04-18T22:09:08.886,pod-70,node-tg96x,Running,update,736m,371Mi
2025-04-18T22:09:08.886,pod-79,node-vkqxp,Running,update,1310m,303Mi
2025-04-18T22:09:08.903,pod-70,node-tg96x,Running,update,736m,371Mi
2025-04-18T22:09:08.916,pod-70,node-tg96x,Running,delete,736m,371Mi
2025-04-18T22:09:08.916,pod-79,node-vkqxp,Running,update,1310m,303Mi
2025-04-18T22:09:09.503,pod-72,node-vkqxp,Running,update,370m,305Mi
2025-04-18T22:09:09.521,pod-72,node-vkqxp,Running,update,370m,305Mi
2025-04-18T22:09:09.522,pod-72,node-vkqxp,Running,delete,370m,305Mi
2025-04-18T22:09:09.885,pod-64,node-tg96x,Running,update,1326m,126Mi
2025-04-18T22:09:09.897,pod-64,node-tg96x,Running,update,1326m,126Mi
2025-04-18T22:09:09.897,pod-64,node-tg96x,Running,delete,1326m,126Mi
2025-04-18T22:09:10.462,pod-80,,Pending,add,793m,551Mi
2025-04-18T22:09:10.479,pod-80,node-tg96x,Pending,update,793m,551Mi
2025-04-18T22:09:10.487,pod-80,node-tg96x,Running,update,793m,551Mi
2025-04-18T22:09:10.500,pod-80,node-tg96x,Running,update,793m,551Mi
2025-04-18T22:09:10.906,pod-79,node-vkqxp,Running,update,1310m,303Mi
2025-04-18T22:09:10.922,pod-79,node-vkqxp,Running,update,1310m,303Mi
2025-04-18T22:09:10.936,pod-79,node-vkqxp,Running,delete,1310m,303Mi
2025-04-18T22:09:12.464,pod-81,,Pending,add,698m,87Mi
2025-04-18T22:09:12.479,pod-82,,Pending,add,1585m,675Mi
2025-04-18T22:09:12.491,pod-81,node-vkqxp,Pending,update,698m,87Mi
2025-04-18T22:09:12.491,pod-82,node-tg96x,Pending,update,1585m,675Mi
2025-04-18T22:09:12.496,pod-81,node-vkqxp,Running,update,698m,87Mi
2025-04-18T22:09:12.496,pod-82,node-tg96x,Running,update,1585m,675Mi
2025-04-18T22:09:12.522,pod-81,node-vkqxp,Running,update,698m,87Mi
2025-04-18T22:09:12.539,pod-82,node-tg96x,Running,update,1585m,675Mi
2025-04-18T22:09:14.871,pod-60,node-vkqxp,Running,update,754m,156Mi
2025-04-18T22:09:14.883,pod-60,node-vkqxp,Running,update,754m,156Mi
2025-04-18T22:09:14.891,pod-73,node-vkqxp,Pending,update,1354m,951Mi
2025-04-18T22:09:14.894,pod-60,node-vkqxp,Running,delete,754m,156Mi
2025-04-18T22:09:14.904,pod-73,node-vkqxp,Running,update,1354m,951Mi
2025-04-18T22:09:14.919,pod-73,node-vkqxp,Running,update,1354m,951Mi
2025-04-18T22:09:15.469,pod-83,,Pending,add,1034m,195Mi
